wrto_route,wrto_oper,wrto_seq_num,wrto_opr_shrt_desc
BGA334,2430,26,F/S
BGA334,2435,27,P/P
BGA334,4710,28,AOST
BGA334,2450,29,L/S
BGA334,2460,30,F/V
BGA334,2470,31,4IP
BGA334,2472,32,PKC
BGA334,2480,33,PACK
BGA334,2490,34,SHIP
BGA345,2000,1,IQC
BGA345,2003,2,TPM
BGA345,2005,3,TAPING
BGA345,2010,4,LAPPING
BGA345,2020,5,A21 QUEUE
BGA345,2030,6,W/M
BGA345,2040,7,D/S
BGA345,2050,8,A31
BGA345,2060,9,2IP
BGA345,2070,10,D/A
BGA345,2080,11,D/A CURE
BGA345,2150,12,PLASMA
BGA345,2090,13,POST D/A Q
BGA345,2200,14,W/B
BGA345,2209,15,BMP
BGA345,2210,16,3IP
BGA345,2250,17,PLASMA
BGA345,2230,18,M/D QUEUE
BGA345,2300,19,M/D
BGA345,2320,20,T/M
BGA345,6000,21,WTC2
BGA345,2330,22,PMC
BGA345,2405,23,PLASMA
BGA345,2418,24,WTC
BGA345,2410,25,S/P
BGA345,2430,26,F/S
BGA345,2435,27,P/P
BGA345,2440,28,O/S
BGA345,2450,29,L/S
BGA345,2460,30,F/V
BGA345,2470,31,4IP
BGA345,2480,32,PACK
BGA345,2490,33,SHIP
BGA359,2000,1,IQC
BGA359,2003,2,TPM
BGA359,2005,3,TAPING
BGA359,2010,4,LAPPING
BGA359,2020,5,A21 QUEUE
BGA359,2030,6,W/M
BGA359,2040,7,D/S
BGA359,2050,8,A31
BGA359,2056,9,AOI
BGA359,2059,10,AOIR
BGA359,2060,11,2IP
BGA359,2070,12,D/A
BGA359,2080,13,D/A CURE
BGA359,2150,14,PLASMA
BGA359,2090,15,POST D/A Q
BGA359,2200,16,W/B
BGA359,2205,17,A41
BGA359,2210,18,3IP
BGA359,2250,19,PLASMA
BGA359,2230,20,M/D QUEUE
BGA359,2300,21,M/D
BGA359,2310,22,B/M
BGA359,2330,23,PMC
BGA359,6008,24,SLB
BGA359,2461,25,FV2
